泰勒阶数,最大绝对误差,平均绝对误差,均方误差,x=0.5处误差,x=0.9处误差,x=1.0处误差,程序总耗时(s)
0,1.0,0.21500363145651488,0.09634059624636299,0.1339745962155614,0.5641101056459327,1.0,10.168444
2,0.5,0.04817029812318149,0.009016088293372214,0.008974596215561403,0.15911010564593264,0.5,10.168444
4,0.375,0.023120281464848163,0.0030989724819919908,0.0011620962155614034,0.0770976056459326,0.375,10.168444
6,0.3125,0.014164906473782681,0.0015552356823990065,0.0001855337155614034,0.04388254314593265,0.3125,10.168444
8,0.2734375,0.00980725023247712,0.000936017696663985,3.294582493640341e-05,0.027067417755307632,0.2734375,10.168444
10,0.24609375,0.007309009236998414,0.0006268389984562586,6.242944077028412e-06,0.017533241658823195,0.24609375,10.168444
12,0.2255859375,0.005722004286986982,0.00045036583307427974,1.2361539158955992e-06,0.011741229680209075,0.2255859375,10.168444
